
Variations of Classes: NumF, structureFP, sizeP, numS, ucK, vwFK


Classe01  -  111111
Classe02  -  111112
Classe03  -  111113
Classe04  -  111121
Classe05  -  111122
Classe06  -  111123
Classe07  -  111131
Classe08  -  111132
Classe09  -  111133
Classe10  -  111211
Classe11  -  111212
Classe12  -  111213
Classe13  -  111221
Classe14  -  111222
Classe15  -  111223
Classe16  -  111231
Classe17  -  111232
Classe18  -  111233
Classe19  -  111311
Classe20  -  111312
Classe21  -  111313
Classe22  -  111321
Classe23  -  111322
Classe24  -  111323
Classe25  -  111331
Classe26  -  111332
Classe27  -  111333
